,startTime,time,open,high,low,close,volume,9-min,21-min,signal,market_returns,trend_returns,entry,ma,ratio,position,entryR,range_returns,sign
21,2021-10-11T15:07:00+00:00,1633964820000.0,57412.0,57440.0,57410.0,57440.0,56335.9542,57445.444444444445,57491.09523809524,-1.0,,,,,,,,,
22,2021-10-11T15:08:00+00:00,1633964880000.0,57440.0,57467.0,57408.0,57467.0,79783.664,57443.77777777778,57486.47619047619,-1.0,0.00046994526872801146,,0.0,,,,,,
23,2021-10-11T15:09:00+00:00,1633964940000.0,57467.0,57474.0,57418.0,57431.0,189934.5604,57443.666666666664,57480.666666666664,-1.0,-0.0006266427819117126,-0.00046994526872801146,0.0,,,,,,
24,2021-10-11T15:10:00+00:00,1633965000000.0,57431.0,57431.0,57403.0,57405.0,67227.0755,57443.88888888889,57472.76190476191,-1.0,-0.0004528196810102969,0.0006266427819117126,0.0,,,,,,
25,2021-10-11T15:11:00+00:00,1633965060000.0,57405.0,57446.0,57391.0,57394.0,934510.2395,57441.333333333336,57466.09523809524,-1.0,-0.00019163930057963796,0.0004528196810102969,0.0,,,,,,
26,2021-10-11T15:12:00+00:00,1633965120000.0,57394.0,57394.0,57353.0,57356.0,214318.2271,57438.666666666664,57458.90476190476,-1.0,-0.0006623093924034151,0.00019163930057963796,0.0,,,,,,
27,2021-10-11T15:13:00+00:00,1633965180000.0,57356.0,57377.0,57325.0,57362.0,274463.3588,57428.444444444445,57449.90476190476,-1.0,0.00010460433420256265,0.0006623093924034151,0.0,,,,,,
28,2021-10-11T15:14:00+00:00,1633965240000.0,57362.0,57366.0,57331.0,57350.0,72171.5989,57411.0,57443.333333333336,-1.0,-0.00020921961161413094,-0.00010460433420256265,0.0,,,,,,
29,2021-10-11T15:15:00+00:00,1633965300000.0,57350.0,57350.0,57276.0,57294.0,223973.742,57401.88888888889,57437.52380952381,-1.0,-0.0009769373792600788,0.00020921961161413094,0.0,,,,,,
30,2021-10-11T15:16:00+00:00,1633965360000.0,57294.0,57298.0,57246.0,57246.0,197808.3781,57388.77777777778,57426.90476190476,-1.0,-0.0008381351983572927,0.0009769373792600788,0.0,57388.77777777778,0.9975120958607857,1.0,,,
