startTime,time,open,high,low,close,volume
2021-10-21T01:32:00+00:00,1634779920000.0,65483.0,65510.0,65479.0,65503.0,260844.8034
2021-10-21T01:33:00+00:00,1634779980000.0,65503.0,65526.0,65503.0,65509.0,275076.9975
2021-10-21T01:34:00+00:00,1634780040000.0,65509.0,65516.0,65489.0,65490.0,87343.6194
2021-10-21T01:35:00+00:00,1634780100000.0,65490.0,65494.0,65427.0,65478.0,202819.7671
2021-10-21T01:36:00+00:00,1634780160000.0,65477.0,65498.0,65477.0,65484.0,96620.9967
2021-10-21T01:37:00+00:00,1634780220000.0,65484.0,65484.0,65405.0,65422.0,353051.5798
2021-10-21T01:38:00+00:00,1634780280000.0,65422.0,65422.0,65402.0,65402.0,1220779.2887
2021-10-21T01:39:00+00:00,1634780340000.0,65402.0,65408.0,65268.0,65348.0,3394981.9578
2021-10-21T01:40:00+00:00,1634780400000.0,65348.0,65348.0,65251.0,65268.0,302010.0741
2021-10-21T01:41:00+00:00,1634780460000.0,65268.0,65294.0,65243.0,65244.0,856946.9507
2021-10-21T01:42:00+00:00,1634780520000.0,65244.0,65390.0,65189.0,65381.0,2023258.1938
2021-10-21T01:43:00+00:00,1634780580000.0,65381.0,65428.0,65352.0,65354.0,874269.1362
2021-10-21T01:44:00+00:00,1634780640000.0,65354.0,65410.0,65354.0,65395.0,150269.6869
2021-10-21T01:45:00+00:00,1634780700000.0,65395.0,65479.0,65395.0,65423.0,256355.9331
2021-10-21T01:46:00+00:00,1634780760000.0,65423.0,65435.0,65331.0,65359.0,288088.7242
2021-10-21T01:47:00+00:00,1634780820000.0,65359.0,65381.0,65311.0,65347.0,2328034.4126
2021-10-21T01:48:00+00:00,1634780880000.0,65347.0,65367.0,65253.0,65294.0,751927.7388
2021-10-21T01:49:00+00:00,1634780940000.0,65294.0,65311.0,65251.0,65257.0,2572450.1836
2021-10-21T01:50:00+00:00,1634781000000.0,65257.0,65295.0,65185.0,65185.0,608110.283
2021-10-21T01:51:00+00:00,1634781060000.0,65185.0,65238.0,65150.0,65161.0,3812326.0594
2021-10-21T01:52:00+00:00,1634781120000.0,65161.0,65161.0,65085.0,65085.0,2332853.0938
2021-10-21T01:53:00+00:00,1634781180000.0,65080.0,65107.0,65055.0,65055.0,2223754.3413
2021-10-21T01:54:00+00:00,1634781240000.0,65053.0,65065.0,64929.0,65033.0,2126604.5532
2021-10-21T01:55:00+00:00,1634781300000.0,65033.0,65111.0,64988.0,65018.0,704302.4848
2021-10-21T01:56:00+00:00,1634781360000.0,65018.0,65018.0,64900.0,64900.0,2076310.3389
