,time,open,high,low,close,volume
0,2021-10-05 16:10:00,49926.0,49961.0,49910.0,49961.0,899993.8935
1,2021-10-05 16:11:00,49963.0,49970.0,49911.0,49911.0,1072834.9685
2,2021-10-05 16:12:00,49911.0,49925.0,49893.0,49898.0,106669.8798
3,2021-10-05 16:13:00,49901.0,50036.0,49898.0,50006.0,570388.4172
4,2021-10-05 16:14:00,50006.0,50006.0,49961.0,50004.0,204122.4305
5,2021-10-05 16:15:00,50004.0,50023.0,49992.0,50023.0,343512.515
6,2021-10-05 16:16:00,50023.0,50023.0,49992.0,49999.0,91700.82
7,2021-10-05 16:17:00,49999.0,50013.0,49962.0,49962.0,373071.547
8,2021-10-05 16:18:00,49962.0,49990.0,49930.0,49932.0,118341.775
9,2021-10-05 16:19:00,49932.0,49940.0,49883.0,49895.0,279106.0601
10,2021-10-05 16:20:00,49895.0,49907.0,49875.0,49875.0,312767.6645
11,2021-10-05 16:21:00,49875.0,49875.0,49827.0,49827.0,132641.7405
12,2021-10-05 16:22:00,49827.0,49856.0,49810.0,49810.0,333650.7193
13,2021-10-05 16:23:00,49810.0,49827.0,49804.0,49804.0,251894.3537
14,2021-10-05 16:24:00,49804.0,49820.0,49800.0,49800.0,1248052.631
15,2021-10-05 16:25:00,49800.0,49850.0,49800.0,49849.0,239855.833
16,2021-10-05 16:26:00,49849.0,49850.0,49837.0,49850.0,572308.9893
17,2021-10-05 16:27:00,49850.0,49860.0,49773.0,49795.0,367925.7967
18,2021-10-05 16:28:00,49795.0,49861.0,49789.0,49861.0,151431.505
19,2021-10-05 16:29:00,49861.0,49861.0,49779.0,49784.0,138822.7421
20,2021-10-05 16:30:00,49784.0,49812.0,49779.0,49812.0,176876.2324
21,2021-10-05 16:31:00,49812.0,49828.0,49794.0,49828.0,340641.0503
22,2021-10-05 16:32:00,49828.0,49870.0,49828.0,49847.0,531569.8289
23,2021-10-05 16:33:00,49850.0,49900.0,49847.0,49871.0,224762.3723
24,2021-10-05 16:34:00,49871.0,49927.0,49871.0,49924.0,220521.0061
25,2021-10-05 16:35:00,49924.0,49970.0,49903.0,49954.0,249362.4959
26,2021-10-05 16:36:00,49954.0,49957.0,49921.0,49925.0,10627.9297
27,2021-10-05 16:37:00,49925.0,49945.0,49880.0,49881.0,323700.0742
28,2021-10-05 16:38:00,49881.0,49885.0,49864.0,49864.0,150795.9879
29,2021-10-05 16:39:00,49864.0,49975.0,49861.0,49959.0,91001.4513
30,2021-10-05 16:40:00,49959.0,49976.0,49941.0,49954.0,209238.2115
31,2021-10-05 16:41:00,49958.0,49989.0,49958.0,49983.0,204544.364
32,2021-10-05 16:42:00,49983.0,50011.0,49963.0,49963.0,50194.0555
33,2021-10-05 16:43:00,49963.0,49976.0,49956.0,49976.0,39058.662
34,2021-10-05 16:44:00,49976.0,49985.0,49960.0,49962.0,27330.1399
35,2021-10-05 16:45:00,49962.0,50008.0,49962.0,50008.0,54511.279
36,2021-10-05 16:46:00,50008.0,50027.0,50003.0,50019.0,190980.9356
37,2021-10-05 16:47:00,50019.0,50021.0,50010.0,50013.0,77825.8519
38,2021-10-05 16:48:00,50013.0,50021.0,50003.0,50015.0,43930.3808
39,2021-10-05 16:49:00,50015.0,50017.0,49992.0,50008.0,2275360.7704
40,2021-10-05 16:50:00,50008.0,50057.0,50005.0,50047.0,175251.2663
41,2021-10-05 16:51:00,50049.0,50103.0,50049.0,50088.0,236183.0835
42,2021-10-05 16:52:00,50088.0,50119.0,50077.0,50118.0,166942.4599
43,2021-10-05 16:53:00,50118.0,50118.0,50070.0,50070.0,123079.6569
44,2021-10-05 16:54:00,50069.0,50070.0,50027.0,50049.0,304566.656
45,2021-10-05 16:55:00,50049.0,50065.0,50021.0,50065.0,131577.4886
46,2021-10-05 16:56:00,50065.0,50102.0,50065.0,50102.0,104228.678
47,2021-10-05 16:57:00,50102.0,50103.0,50039.0,50088.0,359000.99
48,2021-10-05 16:58:00,50088.0,50126.0,50078.0,50109.0,136500.5599
49,2021-10-05 16:59:00,50109.0,50126.0,50084.0,50126.0,240909.0724
50,2021-10-05 17:00:00,50126.0,50127.0,50086.0,50099.0,167930.1145
51,2021-10-05 17:01:00,50099.0,50100.0,50044.0,50071.0,129510.6486
52,2021-10-05 17:02:00,50071.0,50071.0,50040.0,50040.0,507246.1183
53,2021-10-05 17:03:00,50040.0,50047.0,49979.0,49985.0,277479.963
54,2021-10-05 17:04:00,49985.0,50065.0,49985.0,50065.0,467388.6599
55,2021-10-05 17:05:00,50065.0,50099.0,50064.0,50099.0,279324.3172
56,2021-10-05 17:06:00,50099.0,50142.0,50093.0,50141.0,214560.1338
57,2021-10-05 17:07:00,50141.0,50141.0,50103.0,50109.0,356037.6519
58,2021-10-05 17:08:00,50109.0,50130.0,50101.0,50117.0,93977.2828
59,2021-10-05 17:09:00,50117.0,50140.0,50111.0,50135.0,94073.1942
60,2021-10-05 17:10:00,50135.0,50153.0,50126.0,50152.0,104441.6608
61,2021-10-05 17:11:00,50152.0,50168.0,50132.0,50132.0,257294.6957
62,2021-10-05 17:12:00,50132.0,50134.0,50086.0,50134.0,164182.2511
63,2021-10-05 17:13:00,50134.0,50151.0,50134.0,50149.0,374225.5757
64,2021-10-05 17:14:00,50149.0,50150.0,50100.0,50100.0,141379.3645
65,2021-10-05 17:15:00,50100.0,50144.0,50099.0,50144.0,145172.664
66,2021-10-05 17:16:00,50144.0,50164.0,50132.0,50164.0,83788.0929
67,2021-10-05 17:17:00,50164.0,50171.0,50146.0,50158.0,167843.3013
68,2021-10-05 17:18:00,50158.0,50169.0,50130.0,50145.0,332510.0305
69,2021-10-05 17:19:00,50142.0,50142.0,50101.0,50114.0,238713.6667
70,2021-10-05 17:20:00,50114.0,50170.0,50114.0,50160.0,133484.5011
71,2021-10-05 17:21:00,50160.0,50172.0,50157.0,50157.0,30770.5459
72,2021-10-05 17:22:00,50157.0,50164.0,50155.0,50163.0,15930.5072
73,2021-10-05 17:23:00,50163.0,50195.0,50126.0,50140.0,200742.1857
74,2021-10-05 17:24:00,50140.0,50140.0,50110.0,50114.0,150845.0183
75,2021-10-05 17:25:00,50114.0,50136.0,50097.0,50104.0,83809.0844
76,2021-10-05 17:26:00,50104.0,50121.0,50104.0,50121.0,90995.4604
77,2021-10-05 17:27:00,50121.0,50151.0,50121.0,50137.0,31171.9977
78,2021-10-05 17:28:00,50137.0,50150.0,50135.0,50150.0,27623.8597
79,2021-10-05 17:29:00,50150.0,50162.0,50150.0,50154.0,328753.9398
